qx,qy,emitx,emity
1.42237384062,1.39302388161,1.29795965438e-08,6.15710805317e-09
1.43243500652,1.39296805285,1.40471643327e-08,6.22967588978e-09
1.44249418017,1.3929121734,1.34006524409e-08,6.4460260652e-09
1.45255133334,1.39285624961,1.26691036658e-08,6.18924192741e-09
1.46260643672,1.39280028782,1.29373878977e-08,6.1564458837e-09
1.47265945993,1.39274429441,1.23703275152e-08,6.16036160145e-09
1.48271037148,1.39268827573,1.20903669362e-08,6.18273456084e-09
1.49275913874,1.39263223818,1.19862465781e-08,6.49637582239e-09
1.50280572792,1.39257618815,1.15664496134e-08,6.42868044024e-09
1.51285010404,1.39252013203,1.13278265203e-08,6.48671673534e-09
1.5228922309,1.39246407624,1.10600893612e-08,6.53691740013e-09
1.53293207105,1.39240802719,1.08874955235e-08,6.40410859744e-09
1.54296958574,1.3923519913,1.10436969379e-08,6.96737405987e-09
1.55300473493,1.392295975,1.06911364592e-08,6.94321450201e-09
1.56303747719,1.39223998472,1.08767160792e-08,6.96124986379e-09
1.57306776972,1.39218402689,1.1724601519e-08,7.34115619624e-09
1.58309556828,1.39212810796,1.295960428e-08,7.81892006278e-09
1.59312082713,1.39207223436,1.31436343047e-08,7.57742585623e-09
1.60314349903,1.39201641254,1.43618712983e-08,7.82940531179e-09
1.61316353517,1.39196064894,1.47074642303e-08,7.61197502618e-09
1.62318088511,1.39190494999,1.4732903532e-08,7.9333497561e-09
1.63319549674,1.39184932216,1.60870092465e-08,8.07027120152e-09
1.64320731625,1.39179377187,1.6775568534e-08,8.5476665239e-09
1.65321628802,1.39173830557,1.64077087044e-08,8.49771292034e-09
1.6632223546,1.39168292969,1.5799709318e-08,8.43131823597e-09
1.67322545665,1.39162765067,1.83471910346e-08,9.06762249535e-09
1.68322553285,1.39157247493,2.17331450418e-08,9.46226348702e-09
1.69322251986,1.39151740889,2.57139246703e-08,9.73831551885e-09
1.70321635222,1.39146245898,2.7557032065e-08,1.05233841822e-08
1.71320696229,1.39140763161,3.04532937294e-08,1.01245304362e-08
1.72319428019,1.39135293317,3.67694422058e-08,1.05259640581e-08
1.73317823369,1.39129837005,3.78458391517e-08,1.09716055179e-08
1.74315874812,1.39124394866,3.62402878687e-08,1.08430747926e-08
1.75313574632,1.39118967535,3.69025030064e-08,1.07057465224e-08
1.76310914849,1.3911355565,3.55578609305e-08,1.08532205612e-08
1.77307887213,1.39108159845,3.52261005049e-08,1.12373329559e-08
1.78304483195,1.39102780755,3.33544246654e-08,1.1345881315e-08
1.79300693969,1.39097419013,3.3163844445e-08,1.20278763703e-08
1.80296510409,1.39092075249,3.18808613554e-08,1.18473901311e-08
1.81291923072,1.39086750093,3.10712793135e-08,1.24350115691e-08
1.82286922186,1.39081444174,2.96479888427e-08,1.30843109109e-08
1.83281497638,1.39076158118,2.77972454085e-08,1.28476249731e-08
1.84275638957,1.3907089255,2.5862029831e-08,1.32984757497e-08
1.85269335306,1.39065648093,2.53341102273e-08,1.33857570455e-08
1.86262575458,1.39060425369,2.49411402692e-08,1.4026632415e-08
1.87255347785,1.39055224996,2.28731941058e-08,1.32703884816e-08
1.38204847301,1.4043198442,9.36763715764e-09,1.31854020194e-08
1.39211743335,1.40426436032,1.28358465467e-08,8.73681296626e-09
1.40218449714,1.40420880067,1.40855931269e-08,7.20063016874e-09
1.41224964024,1.40415317153,1.37693303609e-08,6.57396502934e-09
1.42231283753,1.4040974792,1.39323508481e-08,6.25046998071e-09
1.43237406288,1.40404172997,1.32154102977e-08,6.30988096879e-09
1.44243328912,1.40398593017,1.30844303456e-08,6.03660420063e-09
1.45249048806,1.40393008612,1.29800506842e-08,6.46202817857e-09
1.46254563041,1.40387420417,1.25198610733e-08,6.15979712519e-09
1.47259868582,1.40381829068,1.24975230664e-08,6.36966605793e-09
1.48264962282,1.403762352,1.24023564033e-08,6.18711498517e-09
1.49269840878,1.40370639451,1.19421135249e-08,6.16748958653e-09
1.50274500994,1.4036504246,1.18302349105e-08,6.43217757337e-09
1.51278939132,1.40359444865,1.1124794665e-08,6.39110796904e-09
1.52283151672,1.40353847307,1.12416846418e-08,6.6557813821e-09
1.53287134869,1.40348250425,1.10385986118e-08,6.80299735732e-09
1.54290884849,1.40342654862,1.09460671903e-08,6.6018176255e-09
1.55294397605,1.40337061259,1.02851702195e-08,6.58114446686e-09
1.56297668995,1.40331470258,1.1300220656e-08,6.82862744087e-09
1.57300694737,1.40325882502,1.12213833508e-08,6.73316345155e-09
1.58303470404,1.40320298633,1.24473457029e-08,7.12306526158e-09
1.59305991421,1.40314719295,1.2749511037e-08,6.96656188641e-09
1.60308253062,1.40309145131,1.48135732067e-08,7.44902601038e-09
1.61310250442,1.40303576784,1.50813203763e-08,7.66623855588e-09
1.62311978514,1.40298014899,1.49372360989e-08,7.65873651917e-09
1.63313432065,1.40292460117,1.68882079911e-08,7.92284647892e-09
1.64314605707,1.40286913083,1.66579378601e-08,7.71363396007e-09
1.65315493876,1.40281374439,1.88968481686e-08,8.37997546638e-09
1.66316090821,1.40275844829,1.80054932609e-08,8.40831306655e-09
1.67316390603,1.40270324894,1.95358265291e-08,9.24356286658e-09
1.68316387086,1.40264815276,2.28123884018e-08,9.37708427209e-09
1.69316073927,1.40259316616,2.58529982207e-08,9.54767867259e-09
1.70315444576,1.40253829556,3.35072300518e-08,1.02819505877e-08
1.71314492261,1.40248354736,3.47949981789e-08,1.03081454744e-08
1.72313209988,1.40242892794,3.99797241253e-08,9.960749665e-09
1.73311590525,1.40237444369,3.93709840138e-08,1.04713630497e-08
1.74309626397,1.40232010099,3.82575364811e-08,1.01742258986e-08
1.75307309879,1.40226590621,3.77441186628e-08,1.01770650976e-08
1.76304632984,1.40221186569,3.58506020167e-08,1.03718474064e-08
1.77301587451,1.40215798578,3.56187230297e-08,1.11215576256e-08
1.7829816474,1.40210427281,3.45719021544e-08,1.17350031138e-08
1.79294356016,1.40205073309,3.21016481494e-08,1.13820426007e-08
